
First reading of strip B:

C0.872 M2.185 Y2.193
C0.843 M2.194 Y2.216
C0.709 M2.179 Y2.206
C0.972 M2.234 Y2.239
C1.078 M2.212 Y2.249
C0.115 M0.097 Y0.060
C2.208 M2.146 Y2.183
C0.227 M0.253 Y0.227
C1.565 M1.753 Y1.735
C0.346 M0.406 Y0.400
C1.124 M1.288 Y1.282
C0.966 M1.152 Y1.146
C0.849 M1.030 Y1.015
C0.649 M0.805 Y0.804
C1.055 M2.166 Y2.194
C1.110 M2.023 Y2.015

Same Strip, 2nd reading:

C0.718 M2.186 Y2.231
C0.776 M2.148 Y2.199
C0.118 M0.103 Y0.065
C2.218 M2.161 Y2.189
C0.231 M0.260 Y0.233
C1.571 M1.759 Y1.748
C0.349 M0.412 Y0.405
C1.129 M1.297 Y1.287
C0.971 M1.165 Y1.151
C0.851 M1.035 Y1.022
C0.651 M0.809 Y0.812
C0.813 M2.177 Y2.151

Same Strip, 3rd reading:

C0.118 M0.101 Y0.065
C2.214 M2.155 Y2.184
C0.230 M0.258 Y0.232
C1.570 M1.759 Y1.749
C0.349 M0.409 Y0.403
C1.132 M1.295 Y1.285
C0.970 M1.164 Y1.150
C0.851 M1.032 Y1.022
C0.652 M0.809 Y0.811

